date,1. open,2. high,3. low,4. close,5. volume
2006-01-03,99.25,99.25,98.75,99.25,400.0
2006-01-04,100.75,100.75,100.75,100.75,100.0
2006-01-05,100.75,100.75,100.75,100.75,0.0
2006-01-06,102.0,102.0,101.0,102.0,200.0
2006-01-09,99.25,99.25,99.25,99.25,100.0
2006-01-10,99.0,99.6,99.0,99.0,500.0
2006-01-11,99.0,99.0,99.0,99.0,0.0
2006-01-12,100.0,101.0,100.0,100.0,400.0
2006-01-13,100.25,101.0,100.25,100.25,200.0
2006-01-17,99.0,101.0,99.0,99.0,200.0
2006-01-18,99.0,99.0,99.0,99.0,0.0
2006-01-19,100.5,103.0,100.5,100.5,25300.0
2006-01-20,102.0,102.0,100.6308,102.0,202600.0
2006-01-23,102.5,102.5,102.25,102.5,2000.0
2006-01-24,102.5,102.5,101.0,102.5,300.0
2006-01-25,101.5,102.0,101.0,101.5,5929.0
2006-01-26,103.0,103.1,101.0,103.0,3984.0
2006-01-27,102.0,104.0,102.0,102.0,858.0
2006-01-30,107.0,107.0,107.0,107.0,6603.0
2006-01-31,106.0,106.0,104.0,106.0,3468.0
2006-02-01,105.0,105.0,103.0,105.0,1708.0
2006-02-02,105.0,105.0,105.0,105.0,13325.0
2006-02-03,105.0,105.0,104.25,105.0,2827.0
2006-02-06,103.0,103.0,103.0,103.0,500.0
2006-02-07,102.5,102.5,101.0,102.5,1657.0
2006-02-08,99.9,102.0,99.0,99.9,490.0
2006-02-09,102.5,102.9,102.5,102.5,321.0
2006-02-10,102.0,102.0,102.0,102.0,3753.0
2006-02-13,100.5,101.0,99.7,100.5,1587.0
2006-02-14,102.0,102.5,101.0,102.0,1981.0
2006-02-15,102.0,102.5,101.75,102.0,2105.0
2006-02-16,102.0,102.0,100.0,102.0,2205.0
2006-02-17,99.0,100.5,99.0,99.0,1949.0
2006-02-21,100.0,100.5,99.0,100.0,1415.0
2006-02-22,100.5,100.5,98.5,100.5,1095.0
2006-02-23,101.0,101.0,99.0,101.0,5416.0
2006-02-24,98.5,100.5,98.5,98.5,9030.0
2006-02-27,99.5,99.5,98.35,99.5,909.0
2006-02-28,97.0,98.5,97.0,97.0,1691.0
2006-03-01,99.0,99.25,98.5,99.0,2855.0
2006-03-02,94.25,94.6,92.8,94.25,2642.0
2006-03-03,95.75,95.9,95.75,95.75,660.0
2006-03-06,96.75,97.5,96.75,96.75,931.0
2006-03-07,95.5,95.5,95.5,95.5,1990.0
2006-04-17,102.1,102.1,102.1,102.1,0.0
2006-04-26,105.0,105.0,104.05,104.05,873.0
2006-04-27,105.0,106.0,104.5,104.5,1101.0
2006-05-03,105.0,105.25,103.75,105.25,1479.0
2006-05-04,105.0,105.5,104.65,105.5,1347.0
2006-05-15,105.0,105.25,104.1,105.25,1075.0
2006-05-16,105.25,105.25,105.25,105.25,0.0
2006-05-17,105.25,105.25,105.25,105.25,0.0
2006-05-18,105.25,105.25,105.25,105.25,0.0
2006-05-19,105.25,105.25,105.25,105.25,0.0
2006-05-22,105.25,105.25,105.25,105.25,0.0
2006-05-23,105.25,105.25,105.25,105.25,0.0
2006-05-24,105.25,105.25,105.25,105.25,0.0
2006-05-25,105.25,105.25,105.25,105.25,0.0
2006-05-26,105.25,105.25,105.25,105.25,0.0
2006-05-30,105.25,105.25,105.25,105.25,0.0
2006-05-31,105.25,105.25,105.25,105.25,0.0
2006-06-01,105.25,105.25,105.25,105.25,0.0
2006-06-02,105.25,105.25,105.25,105.25,0.0
2006-06-05,105.25,105.25,105.25,105.25,0.0
2006-06-06,105.25,105.25,105.25,105.25,0.0
2006-06-07,105.25,105.25,105.25,105.25,0.0
2006-06-08,105.25,105.25,105.25,105.25,0.0
2006-06-09,105.25,105.25,105.25,105.25,0.0
2006-06-12,105.25,105.25,105.25,105.25,0.0
2006-06-13,105.25,105.25,105.25,105.25,0.0
2006-06-14,105.25,105.25,105.25,105.25,0.0
2006-06-15,105.25,105.25,105.25,105.25,0.0
2006-06-16,105.25,105.25,105.25,105.25,0.0
2006-06-19,105.25,105.25,105.25,105.25,0.0
2006-06-20,105.25,105.25,105.25,105.25,0.0
2006-06-21,105.25,105.25,105.25,105.25,0.0
2006-06-22,105.25,105.25,105.25,105.25,0.0
2006-06-23,105.25,105.25,105.25,105.25,0.0
2006-06-26,105.25,105.25,105.25,105.25,0.0
2006-06-27,105.25,105.25,105.25,105.25,0.0
2006-06-28,105.25,105.25,105.25,105.25,0.0
2006-06-29,105.25,105.25,105.25,105.25,0.0
2006-06-30,24.4,24.4,23.8,24.4,6100.0
