
,Company,Year,Operating_CF,Free_CF,CapEx,Dividends,Share_Repurchases,Current_Asset,Non_Current_Asset,Total_Assets,Current_Liabilities,Non-Current_Liabilities,Total_Debt,Shareholders_Equity,Cash,Inventory,Revenue,Cost_of_Sales,Gross_Profit,Net_Income
0,Nike,2015,4680,3717,963,899,2534,15976,5624,21600,181,1079,1260,12707,3852,4337,30601,16534,14067,3273
1,Nike,2016,3096,1953,1143,1022,3238,15025,6354,21379,45,1993,2038,12258,3138,4838,32376,17405,14971,3760
2,Nike,2017,3640,2535,1105,1133,3223,16061,7198,23259,331,3471,3802,12407,3808,5055,34350,19038,15312,4240
3,Nike,2018,4955,3927,1028,1243,4252,15134,7402,22536,342,3468,3810,9812,4249,5261,36397,20441,15956,1933
4,Nike,2019,5903,4784,1119,1332,4286,16525,7192,23717,15,3464,3479,9040,4466,5622,39117,21643,17474,4029
5,Nike,2020,2485,1399,1086,1452,3067,20556,10786,31342,251,9406,9657,8055,8348,7367,37403,21162,16241,2539
6,Nike,2021,6657,5962,695,1638,608,26291,11449,37740,2,9413,9415,12767,9889,6854,44538,24576,19962,5727
7,Nike,2022,5188,4430,758,1837,4014,28213,12108,40321,510,8920,9430,15281,8574,8420,46710,25231,21479,6046
8,Nike,2023,5841,4872,969,2012,5480,25202,12329,37531,6,8927,8933,14004,7441,8454,51217,28925,22292,5070
9,Nike,2024,7429,6617,812,2169,4250,25382,12728,38110,1006,7903,8909,14430,9860,7519,51362,28475,22887,5700
10,Adidas,2015,1090,626,464,303,301,7497,5846,13343,366,1463,1829,5648,1365,3113,16915,8748,8167,640
11,Adidas,2016,1348,770,578,320,218,8886,6290,15176,636,982,1618,6455,1510,3763,18483,9383,9100,1020
12,Adidas,2017,1648,970,678,405,85,8645,5877,14522,137,983,1120,6017,1598,3692,21218,10514,10704,254
13,Adidas,2018,2686,2075,611,528,1000,9813,5799,15612,66,1609,1675,6364,2629,3445,21915,10552,11363,1704
14,Adidas,2019,2819,2221,598,664,809,10934,9746,20680,43,1595,1638,7058,2220,4085,23640,11347,12293,1977
15,Adidas,2020,1486,1118,368,0,257,12154,8899,21053,686,2482,3168,6691,3994,4397,18345,9213,9132,443
16,Adidas,2021,3192,2698,494,585,1000,13944,8193,22137,29,2466,2495,7519,3828,4009,21234,10469,10765,2158
17,Adidas,2022,-479,-983,504,610,2500,11732,8564,20296,527,2946,3473,5351,798,5973,22511,11867,10644,638
18,Adidas,2023,2630,2267,363,125,0,9809,8211,18020,549,2430,2979,4925,1431,4525,21427,11244,10183,-58
19,Adidas,2024,2910,2491,419,125,0,11904,8751,20655,570,1915,2485,5867,2455,4989,23683,11658,12025,832
